,Country,Total_cases,New_cases,Total_deaths,New_deaths,Total_recovered,New_recovered,Active_cases,Serious/critical,Total_cases/1M,Deaths/1M,Total_tests,Tests/1M,Population,Continent,%Inc_cases,%Inc_deaths,%Inc_recovered
136,Barbados,66317,547,386,0,62507,163,3424,0,230261,1340,637232,2212550,288008,North America,0.8248262134897537,0.0,0.26077079367110884
137,Fiji,64524,0,862,0,62677,0,985,0,71051,949,506642,557892,908136,Australia/Oceania,0.0,0.0,0.0
138,Madagascar,64121,0,1391,0,59370,0,3360,14,2213,48,418849,14457,28971410,Africa,0.0,0.0,0.0
139,Guyana,63399,10,1228,0,62081,5,90,1,79910,1548,587994,741123,793383,South America,0.015773119449833593,0.0,0.008053993975612506
140,Sudan,62084,5,4929,0,0,0,0,0,1359,108,562941,12321,45690870,Africa,0.008053604793505573,0.0,
141,New Caledonia,60457,0,312,0,60064,0,81,9,208159,1074,98964,340742,290437,Australia/Oceania,0.0,0.0,0.0
142,Mauritania,58683,0,982,0,57693,0,8,0,12051,202,797799,163837,4869474,Africa,0.0,0.0,0.0
143,Belize,57406,12,676,0,56528,6,202,6,139805,1646,534109,1300754,410615,North America,0.02090373828519667,0.0,0.01061420888763091
144,Bhutan,56301,685,19,0,50413,1376,5869,9,71548,24,2270580,2885482,786898,Asia,1.2166746594199038,0.0,2.7294547041437722
145,Cabo Verde,55999,1,401,0,55537,3,61,23,98789,707,400982,707381,566854,Africa,0.0017857461740388224,0.0,0.00540180420260367
146,Syria,55790,5,3150,0,52065,14,575,0,3054,172,146269,8008,18265349,Asia,0.008962179602079226,0.0,0.02688946509171228
147,Gabon,47594,0,303,0,47280,0,11,0,20513,131,1591228,685814,2320202,Africa,0.0,0.0,0.0
148,Papua New Guinea,43732,63,649,0,43025,52,58,7,4727,70,249149,26929,9251938,Australia/Oceania,0.14405927009969816,0.0,0.12085996513654851
149,Taiwan,43241,3056,856,0,22537,0,19848,0,1810,36,13964112,584411,23894355,Asia,7.067366619643393,0.0,0.0
150,Seychelles,42079,419,165,1,41260,585,654,0,423147,1659,0,0,99443,Africa,0.9957460966277716,0.6060606060606061,1.4178380998545808
151,Curaçao,41652,0,271,0,40800,0,581,3,251977,1639,494095,2989062,165301,North America,0.0,0.0,0.0
152,Andorra,41013,0,153,0,40343,0,517,14,529289,1975,249838,3224257,77487,Europe,0.0,0.0,0.0
153,Burundi,38812,0,38,0,773,0,38001,0,3098,3,345742,27598,12527647,Africa,0.0,0.0,0.0
154,Mauritius,37460,28,985,0,35611,93,864,0,29367,772,358675,281189,1275566,Africa,0.07474639615589962,0.0,0.261155261014855
155,Mayotte,37038,0,187,0,2964,0,33887,0,130115,657,176919,621521,284655,Africa,0.0,0.0,0.0
156,Togo,36973,2,273,0,36679,0,21,0,4285,32,727399,84309,8627740,Africa,0.005409352770940957,0.0,0.0
157,Guinea,36459,0,440,0,35976,0,43,8,2647,32,660107,47926,13773464,Africa,0.0,0.0,0.0
158,Faeroe Islands,34658,0,28,0,7693,0,26937,5,704474,569,778000,15813972,49197,Europe,0.0,0.0,0.0
159,Aruba,34345,0,212,0,34038,0,95,2,319245,1971,177885,1653483,107582,North America,0.0,0.0,0.0
160,Tanzania,33864,0,803,0,0,0,0,7,539,13,0,0,62794108,Africa,0.0,0.0,
161,Bahamas,33430,9,789,0,32297,8,344,11,83574,1972,229817,574534,400006,North America,0.02692192641340114,0.0,0.024770102486299038
162,Lesotho,32910,0,697,0,24155,0,8058,0,15146,321,431221,198462,2172812,Africa,0.0,0.0,0.0
163,Mali,30700,9,731,1,29787,15,182,0,1441,34,662355,31097,21299809,Africa,0.02931596091205212,0.13679890560875513,0.05035753852351697
164,Haiti,30615,0,835,0,29312,0,468,0,2627,72,132422,11364,11652668,North America,0.0,0.0,0.0
165,Isle of Man,28416,0,87,0,26794,0,1535,0,331023,1013,150753,1756148,85843,Europe,0.0,0.0,0.0
166,Benin,26952,0,163,0,25506,0,1283,5,2123,13,604310,47605,12694318,Africa,0.0,0.0,0.0
167,Somalia,26485,0,1350,0,13182,0,11953,0,1587,81,400466,23993,16690672,Africa,0.0,0.0,0.0
168,Congo,24079,0,385,0,20178,0,3516,0,4179,67,347815,60360,5762389,Africa,0.0,0.0,0.0
